name,class,mass,fall,year,lat,long,GeoLocation
Asuka 87286,H3.6,61.25,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87287,H3,47.1,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87288,H4,21.26,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87289,H3,46.79,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87290,H5,20.64,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87291,H5,154.59,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87292,H5,11.85,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87296,H3,17.64,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87299,H3,14.79,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87300,H3,27.87,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87307,H4,59.37,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87308,H5,6060,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87309,L6,189.36,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87310,H4,13.6,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87311,H4,101.42,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87312,L4,509.58,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87313,L6,32.56,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87315,H4,19.71,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87316,H6,24.98,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87317,H6,211.13,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87318,L3,172.2,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87319,L3.1,650.84,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87320,H5,381.64,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87321,L6,114.88,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87322,H5,65.38,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87323,H5,169.33,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87324,H3,24.58,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87325,H5,270.36,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87326,H5,150.84,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87327,L6,88.9,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87328,H4,544.26,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87329,H4,203.2,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87330,H4,467.39,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87331,H5,914.24,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87332,H4,483.25,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87333,H4,187.2,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87334,H4,637.91,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87335,H4,38.72,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87336,H4,386.8,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87337,L5,2642,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87338,H4,524.72,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87339,H4,1103.15,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87340,H4,127.46,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87341,H4,514.79,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87342,H4,417.49,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87344,CV3,22.18,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87345,H4,73.78,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87346,CO3.3,132.11,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87347,L6,19.59,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87349,H5,19.36,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 87350,H5,1268.84,Found,1987,-72,26,"(-72.000000, 26.000000)"
Asuka 880036,L6,14.34,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880042,L6,10.86,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880055,L6,11.29,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880067,H5,61.4,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880068,H5,37.98,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880069,H5,43.31,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880070,H5,100.55,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880071,H5,57.45,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880072,H5,25.67,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880073,H5,54.97,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880601,H4,28.71,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880602,H4,91.36,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880604,H5,24.19,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880605,H6,79.2,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880606,H5,19.15,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880609,H4,62.11,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880613,H3.9,190.86,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880614,H5,11.94,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880615,H5,496.51,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880616,H6,74.39,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880617,L6,35.48,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880618,H4,16.07,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880620,H3.7,99.57,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880621,Eucrite-pmict,48.63,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880622,H4,59.48,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880623,H5,12.66,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880624,H3.8,91.68,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880625,L6,47.26,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880626,H6,23.58,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880627,H6,30.6,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880628,H4,10.63,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880630,H3,11.72,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880632,LL6,16.61,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880633,H4,553.61,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880634,H5,41.25,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880635,H5,14.74,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880636,H4,149.15,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880637,H4,107.84,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880638,H4,99.31,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880639,H4,88.68,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880640,L6,7.18,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880641,H3.7,154.23,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880642,H4,36.49,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880644,H4,99.38,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880645,H4,40.1,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880647,H4,53.14,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880648,H4,41.01,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880649,H4,65.98,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880652,Diogenite,29.35,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880653,H4,16.8,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880654,H4,21.16,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880655,H4,30.21,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880656,H4,133.17,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880658,H4,34.57,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880659,L6,83.42,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880660,L6,11.5,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880661,H4,128.91,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880662,H5,27.64,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880663,LL6,20.35,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880664,H6,18.96,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880665,H5,33.78,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880666,L4,17.84,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880667,L6,38.32,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880668,H4,14.1,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880669,L6,20.42,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880671,LL4,20.35,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880672,H4,19.93,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880673,H6,18,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880674,H5,18.9,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880675,H4,385.28,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880676,H3.6,112.96,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880679,H4,38.78,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880684,H3.9,60.26,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880685,H5,42.37,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880686,H5,22.5,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880688,L6,19.56,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880691,CK4,28.77,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880693,H5,36.63,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880694,H4,10.37,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880695,H3,138.69,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880698,H3,12.96,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880700,H4,327.5,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880701,H4,44.31,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880702,Eucrite,10.52,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880703,H5,11.88,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880704,H5,51.64,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880708,L3.4,33.2,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880709,H3.7,15.22,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880710,H3.6,14.67,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880711,H3.7,59.58,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880712,L6,111.85,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880713,H3.4,16.24,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880715,H5,1909.25,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880717,H6,41.42,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880718,CK5,30.18,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880720,H5,44.29,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880721,H5,113.2,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880723,H5,16.58,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880724,H3.8,78.24,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880725,H6,48.72,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880727,L6,11.06,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880728,H4,13.01,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880729,H3.8,239.61,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880730,H4,24.09,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880731,H6,10.07,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880732,L6,13.9,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880733,H3.4,16.73,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880734,H4,44.19,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880735,H4,442.46,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880736,LL6,16.85,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880737,H4,47.19,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880738,L6,40.75,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880740,H4,22.1,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880741,H5,29.84,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880742,H4,37.14,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880743,H5,37.26,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880744,H4,154.38,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880745,H3,74.1,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880746,H3.8,239.71,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880747,LL6,246.41,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880748,H6,23.49,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880749,H6,16.66,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880752,H6,72.01,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880753,L4,36.29,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880754,H5,10.36,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880755,H4,11.9,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880756,H5,62.37,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880757,H4,90.28,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880758,H5,80.85,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880759,H5,69.42,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880760,H5,68.42,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880761,Eucrite-mmict,65.44,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880762,H4,155.3,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880763,H5,54.73,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880764,H4,38.36,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880765,H4,60.09,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880766,H4,25.24,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880767,H4,44.01,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880768,H5,44.63,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880769,L6,47.67,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880770,H6,1166.03,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880771,H6,35.32,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880772,L6,69.57,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880773,H5,55.16,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880774,L3.7,12.21,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880775,LL6,30.76,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880776,H5,153.78,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880777,H5,105.15,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880778,H5,53.41,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880779,H5,92.48,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880780,LL5,85.55,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880781,H4,81.85,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880782,H4,58.28,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880784,Ureilite,44.23,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880785,Diogenite,52.73,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880786,H4,47.05,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880788,H3.8,220.13,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880789,H4,61.55,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880790,H4,40.61,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880791,H4,27.03,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880792,H6,28.75,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880793,H3.6,67.01,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880794,H4,27.98,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880795,LL3.8,27.92,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880796,H5,43.15,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880797,H5,43.29,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880798,H4,25.59,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880799,H4,21.85,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880800,H4,51.53,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880801,H4,13.47,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880802,H5,51.98,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880803,H6,28.19,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880804,H5,34.55,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880805,H4,48.57,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880806,H4,48.31,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880807,H4,52.71,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880808,H4,121.66,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880809,H4-6,54.1,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880810,H4,40.39,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880811,H5,36.75,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880812,H5,16.94,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880813,H4,34.72,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880814,H5,79.34,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880815,L6,40.53,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880816,L6,118.34,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880817,H5,36.59,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880818,H6,37.57,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880819,H5,18.52,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880820,L3.7,19.55,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880821,H4,12.57,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880822,H5,35.8,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880823,H4-6,14.73,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880825,LL6,49.9,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880826,H5,294.85,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880828,H5,27.29,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880829,H4,126.69,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880830,H5,37.56,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880831,H5,83.18,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880832,H5,279.34,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880833,LL3.8,29.32,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880834,H5,21.32,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880835,CV3,58.48,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880836,L5,53.12,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880837,H4,19.81,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880838,L5,124.34,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880839,H5,131.6,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880840,H3.7,60.92,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880841,H4,86.63,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880842,H5,27.49,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880843,L6,15.6,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880844,H7,48.53,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880845,LL6,44.71,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880846,H5,33.62,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880847,H4,19.51,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880848,H4,74.41,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880849,CO3,31.97,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880850,LL6,56.75,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880851,H4,40.91,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880852,H,140.65,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880853,H6,133.84,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880854,H5,81.74,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880855,H4,118.61,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880856,L6,389.21,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880857,L4,90.72,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880858,H4,40.77,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880859,H5,29.25,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880860,H4,20.55,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880862,H5,35.91,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880863,H3.7,19.3,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880864,H4,56.65,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880865,H4,25.41,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880866,H5,24.84,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880867,H5,38.6,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880868,H6,3.34,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880869,H3.8,114.34,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880870,L3.6,71.69,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880871,H5,52.58,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880874,H4,35.84,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880875,H4,96.7,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880876,H6,17.74,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880877,H4,40.24,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880878,H5,30.82,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880879,H4,10.24,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880880,H4,109.62,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880881,H4,21.59,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880882,H4,58.26,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880883,LL6,19.44,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880884,H4,53,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880885,H4,83.89,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880886,H4-6,47.34,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880887,H5,44.11,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880888,H4,20.47,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880889,H4,27.97,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880890,H4,28.12,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880891,H4,10.87,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880892,LL6,36.89,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880893,H5,18.1,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880894,L5,32.42,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880896,H5,52.12,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880900,H4,22,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880901,H3.7,12.14,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880903,H4,13.24,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880905,H5,41.2,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880906,LL6,21.07,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880907,H5,49.73,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880908,L3.7,50.46,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880909,EH3,20.01,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880911,H5,36.25,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880913,L6,57.72,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880914,H4,23.53,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880916,H3.3,15.87,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880917,H4,58.91,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880918,H4,294.9,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880919,L6,39.78,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880920,LL6,19.19,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880921,H,40.63,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880923,H4,20.58,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880924,H4,140.16,Found,1988,-72,26,"(-72.000000, 26.000000)"
Asuka 880925,H3.7,56.07,Found,1988,-72,26,"(-72.000000, 26.000000)"
